VideoAnalysis: Time (s),X (m) Trial 1,Y (m) Trial 1,X (m) Trial 2,Y (m) Trial 2,X (m) Trial 3,Y (m) Trial 3,Average X Position,Uncertainty X,Average Y Position,Uncertainty Y,,,
6.666666667,-0.048228373,0.199060091,0.042207492,0.216131468,-0.072799741,0.063199775,-0.026273541,0.060565476,0.159463778,0.083802903,,,
6.733333333,-0.043801987,0.207097477,0.038568915,0.224864052,-0.077599724,0.083199704,-0.027610932,0.059752832,0.171720411,0.07717415,,,
6.8,-0.030926638,0.225762073,0.032019477,0.237962929,-0.071199747,0.111199605,-0.023368969,0.052022983,0.191641536,0.069931348,,,
6.866666667,-0.015046006,0.242493038,0.020376031,0.25033409,-0.055199804,0.121599568,-0.01662326,0.037812597,0.204808899,0.072167965,,,
6.933333333,-0.001040764,0.248903532,0.008732585,0.252517237,-0.033599881,0.112799599,-0.00863602,0.022164732,0.204740122,0.079643328,,,
7,0.013869169,0.237282327,-0.005821723,0.241601506,-0.010399963,0.086399693,-0.000784172,0.012894975,0.188427842,0.088385356,,,
7.066666667,0.027808404,0.217208276,-0.017465169,0.225591768,0.015199946,0.058399792,0.008514394,0.023365499,0.167066612,0.094201534,,,
7.133333333,0.037026159,0.202845817,-0.026197754,0.216131468,0.039999858,0.047999829,0.016942754,0.03739035,0.155659038,0.093471953,,,
7.2,0.039064627,0.202259515,-0.031291761,0.219770045,0.05919979,0.05919979,0.022324218,0.047511695,0.160409783,0.088086615,,,
7.266666667,0.034308203,0.216443365,-0.029836331,0.235779783,0.068799755,0.091199676,0.024423876,0.050055412,0.181140941,0.078489156,,,
7.333333333,0.02331601,0.238043354,-0.021831461,0.24887866,0.071199747,0.119199576,0.024228098,0.04652231,0.20204053,0.071946638,,,
7.4,0.011023081,0.24822016,-0.013826592,0.255428098,0.066399764,0.128799542,0.021198751,0.041069761,0.210815933,0.071119652,,,
7.466666667,-0.003758721,0.243195824,-0.006549438,0.249606375,0.05919979,0.113599596,0.01629721,0.037180916,0.202133932,0.076739952,,,
